WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,studytrial.started,text_3.started,studytrial.stopped,blankscreen.started,text_4.started,blankscreen.stopped,wait.started,textwait.started,key_resp_3.started,wait.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trials.started,text_5.started,key_resp_4.started,test_trials.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,end.started,text_6.started,text_6.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,0.0038465,0.0119182,0.0119182,1.0184553,space,0.9847495,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
,,,,,,,,,,,,,,,,,,,1.0185126,1.0250622,1.0250622,1.4272162,space,0.3941082,None,,,,,,,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
Brazil,Blue,0,0,0,6,,,,,1.4548749,,,,,,,,,,,,,,,,1.4414361,1.4548749,3.4416661,3.4417054,3.4579916,3.942347,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
Japan,Red,0,1,1,0,,,,,3.9581428,,,,,,,,,,,,,,,,3.9427336,3.9581428,5.941756,5.9417802,5.9581893,6.4416172,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
Egypt,Red,0,2,2,8,,,,,6.458056,,,,,,,,,,,,,,,,6.4420839,6.458056,8.4416107,8.4416435,8.4579757,8.9415825,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
India,Red,0,3,3,1,,,,,8.9582631,,,,,,,,,,,,,,,,8.9420661,8.9582631,10.9417333,10.9417639,10.9582183,11.4415881,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
France,Blue,0,4,4,3,,,,,11.4578899,,,,,,,,,,,,,,,,11.4419971,11.4578899,13.4415784,13.4416127,13.458043,13.9414455,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
Germany,None,0,5,5,9,,,,,13.9595749,,,,,,,,,,,,,,,,13.9421665,13.9595749,15.9420894,15.9421195,15.9581152,16.4413434,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
Canada,Red,0,6,6,7,,,,,16.4579051,,,,,,,,,,,,,,,,16.4417023,16.4579051,18.4413902,18.4414129,18.4581591,18.9413301,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
Argentina,Red,0,7,7,5,,,,,18.9577764,,,,,,,,,,,,,,,,18.9420176,18.9577764,20.9413804,20.9414021,20.9577739,21.4412852,,,,,,,,,,,,,,,,,,,47740,1,2024-11-26_12h21.46.483,short term memory,2024.1.5,None,2024-11-26 12h21.55.599708 +0530
