pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.013211199955549091,,0.00897849997272715,0.013211199955549091,1.0069848999846727,1.0069848999846727,1.0069848999846727,1.0069848999846727,1.0255792000098154,2.0073220999911427,2.0073220999911427,4.1980403999914415,x,1,2.168516300036572,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
150,v,0,1,1,1,,,,,4.207191599998623,,4.19970379996812,4.207191599998623,5.207610199984629,5.207610199984629,5.207610199984629,5.207610199984629,5.207610199984629,6.207151899987366,6.207151899987366,7.793238499958534,v,1,1.5826347000547685,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
50,c,0,2,2,2,,,,,7.807258999964688,,7.795095499954186,7.807258999964688,8.807958099991083,8.807958099991083,8.807958099991083,8.807958099991083,8.807958099991083,9.80788619996747,9.80788619996747,10.87671549996594,c,1,1.0562093000044115,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-150,z,0,3,3,3,,,,,10.891175500000827,,10.878579000011086,10.891175500000827,11.891509799985215,11.891509799985215,11.891509799985215,11.891509799985215,11.891509799985215,12.891103099973407,12.891103099973407,13.894010499992874,z,1,0.9955658999970183,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-50,x,1,0,4,0,,,,,13.907713699969463,,13.895823600003496,13.907713699969463,14.907798499974888,14.907798499974888,14.907798499974888,14.907798499974888,14.907798499974888,15.907792199985124,15.907792199985124,16.759324199985713,x,1,0.8382414000225253,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
150,v,1,1,5,1,,,,,16.773871499986853,,16.760733800008893,16.773871499986853,17.773936899960972,17.773936899960972,17.773936899960972,17.773936899960972,17.773936899960972,18.774162899993826,18.774162899993826,19.5252046000096,v,1,0.7433392000384629,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
50,c,1,2,6,2,,,,,19.540784499957226,,19.526460799970664,19.540784499957226,20.54113560001133,20.54113560001133,20.54113560001133,20.54113560001133,20.54113560001133,21.541087199992035,21.541087199992035,22.326504099997692,c,1,0.7766358000226319,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-150,z,1,3,7,3,,,,,22.34138030000031,,22.327818599995226,22.34138030000031,23.341404899954796,23.341404899954796,23.341404899954796,23.341404899954796,23.341404899954796,24.34121879999293,24.34121879999293,25.109493399970233,z,1,0.751261199999135,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-50,x,2,0,8,0,,,,,25.123974399990402,,25.11115549999522,25.123974399990402,26.124768599984236,26.124768599984236,26.124768599984236,26.124768599984236,26.124768599984236,27.124716499994975,27.124716499994975,27.92769749998115,x,1,0.798774599970784,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
150,v,2,1,9,1,,,,,27.941435399989132,,27.92950909998035,27.941435399989132,28.941400399955455,28.941400399955455,28.941400399955455,28.941400399955455,28.941400399955455,29.94160009996267,29.94160009996267,30.71090909995837,v,1,0.7542282000067644,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
50,c,2,2,10,2,,,,,30.72459150000941,,30.712294399971142,30.72459150000941,31.72481369995512,31.72481369995512,31.72481369995512,31.72481369995512,31.72481369995512,32.72445909999078,32.72445909999078,33.76020369998878,c,1,1.030649500025902,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-150,z,2,3,11,3,,,,,33.77448419999564,,33.76171890000114,33.77448419999564,34.77471799997147,34.77471799997147,34.77471799997147,34.77471799997147,34.77471799997147,35.774592000001576,35.774592000001576,36.510064899979625,z,1,0.721480599953793,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-50,x,3,0,12,0,,,,,36.52463329996681,,36.511454099963885,36.52463329996681,37.524963599978946,37.524963599978946,37.524963599978946,37.524963599978946,37.524963599978946,38.52441539999563,38.52441539999563,39.293204199988395,x,1,0.752006699971389,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
150,v,3,1,13,1,,,,,39.3083803000045,,39.294791999971494,39.3083803000045,40.30813630000921,40.30813630000921,40.30813630000921,40.30813630000921,40.30813630000921,41.30844689998776,41.30844689998776,42.060225899971556,v,1,0.7470176999922842,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
50,c,3,2,14,2,,,,,42.0748502999777,,42.06165309995413,42.0748502999777,43.074787899968214,43.074787899968214,43.074787899968214,43.074787899968214,43.074787899968214,44.074909499962814,44.074909499962814,45.01108580001164,c,1,0.9260279999580234,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-150,z,3,3,15,3,,,,,45.024794599972665,,45.01256519998424,45.024794599972665,46.0249693999649,46.0249693999649,46.0249693999649,46.0249693999649,46.0249693999649,47.0244886999717,47.0244886999717,47.759803399967495,z,1,0.7265995999914594,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-50,x,4,0,16,0,,,,,47.77485839999281,,47.76143809995847,47.77485839999281,48.77511449996382,48.77511449996382,48.77511449996382,48.77511449996382,48.77511449996382,49.774707500007935,49.774707500007935,50.510939300002065,x,1,0.727653999987524,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
150,v,4,1,17,1,,,,,50.52460559998872,,50.51293679996161,50.52460559998872,51.52507519995561,51.52507519995561,51.52507519995561,51.52507519995561,51.52507519995561,52.525082500011194,52.525082500011194,53.311067799979355,v,1,0.7704468000447378,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
50,c,4,2,18,2,,,,,53.32473950000713,,53.3124722999637,53.32473950000713,54.32523199997377,54.32523199997377,54.32523199997377,54.32523199997377,54.32523199997377,55.32499459997052,55.32499459997052,56.07774779997999,c,1,0.7355247000232339,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-150,z,4,3,19,3,,,,,56.0917855000007,,56.07923319999827,56.0917855000007,57.09190870000748,57.09190870000748,57.09190870000748,57.09190870000748,57.09190870000748,58.0918837999925,58.0918837999925,58.827133899962064,z,1,0.7289856999996118,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
-50,x,5,0,20,0,,,,,58.84203339996748,,58.828478000010364,58.84203339996748,59.84231489995727,59.84231489995727,59.84231489995727,59.84231489995727,59.84231489995727,60.84231999999611,60.84231999999611,61.49441569996998,x,1,0.6381842999835499,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
150,v,5,1,21,1,,,,,61.50863799999934,,61.49599279998802,61.50863799999934,62.50892399996519,62.50892399996519,62.50892399996519,62.50892399996519,62.50892399996519,63.508864899980836,63.508864899980836,64.19401909998851,v,1,0.6746122000040486,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
50,c,5,2,22,2,,,,,64.20885589998215,,64.19557489996077,64.20885589998215,65.20896459999494,65.20896459999494,65.20896459999494,65.20896459999494,65.20896459999494,66.20876979996683,66.20876979996683,66.92770120000932,c,1,0.7100345999933779,None,192582,001,2024-10-15_14h37.19.056,motor sequence laerning,2024.1.5,None,2024-10-15 14h37.27.132011 +0530,
