trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,0,0,0,0.039229,,0.0062748,5,0.039229,0.039229,0.0282199,1.0407729,,5.8791688,0.368333333,-0.184166667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
1,0,1,0,5.9345375,,5.885635,10,5.9345375,5.9345375,0.034465,6.9398745,,8.9421785,-0.13,0.365,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
2,0,2,0,8.9695203,,8.9453458,5,8.9695203,8.9695203,0.0168213,9.9743294,,12.2763151,-0.0925,0.445833333,1,0,0,,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
3,0,3,0,12.3256959,,12.2793217,10,12.3256959,12.3256959,0.0320268,,,12.9759236,-0.0925,0.445833333,1,0,0,,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
4,0,4,0,13.0324796,,12.9786183,10,13.0324796,13.0324796,0.0338947,,,13.4661289,-0.0925,0.445833333,1,0,0,,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
5,0,5,0,13.4956023,,13.4694029,5,13.4956023,13.4956023,0.0181282,14.508095,,18.0772122,0.361666667,0.293333333,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
6,0,6,0,18.1061866,,18.0814381,5,18.1061866,18.1061866,0.0178753,19.1078055,,20.1105599,0.138333333,0.244166667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
7,0,7,0,20.1642339,,20.1152156,10,20.1642339,20.1642339,0.0346673,21.1747346,,23.8253501,-0.406666667,0.129166667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
8,0,8,0,23.8523642,,23.8282538,5,23.8523642,23.8523642,0.0166602,24.8579877,,25.1770792,-0.193333333,0.381666667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
9,0,9,0,25.2094453,,25.1817845,5,25.2094453,25.2094453,0.0198112,26.2249508,,27.0435014,-0.139166667,-0.44,1,0,0,,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
10,0,10,0,27.073017,,27.0473047,5,27.073017,27.073017,0.0186842,28.0746206,,28.8282374,-0.245833333,0.386666667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
11,0,11,0,28.8615774,,28.8330219,5,28.8615774,28.8615774,0.020712,29.8746522,,30.5427249,0.445,-0.304166667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
12,0,12,0,30.6013468,,30.5474068,10,30.6013468,30.6013468,0.0396294,31.6083342,,32.4758291,-0.058333333,-0.294166667,1,0,0,,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
13,0,13,0,32.5305059,,32.4785559,10,32.5305059,32.5305059,0.031466,33.5446409,,34.9373395,-0.011666667,-0.000833333,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
14,0,14,0,34.9963708,,34.9405546,10,34.9963708,34.9963708,0.0309796,36.0110378,,36.3731712,-0.373333333,0.14,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
15,0,15,0,36.4371775,,36.3763788,10,36.4371775,36.4371775,0.03005,37.4862199,,38.8053745,0.0525,-0.255,1,0,0,,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
16,0,16,0,38.8759713,,38.8084094,10,38.8759713,38.8759713,0.0310846,39.9378414,,40.2270064,-0.304166667,-0.224166667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
17,0,17,0,40.2685639,,40.2302545,5,40.2685639,40.2685639,0.0273449,41.2751412,,41.8283009,0.088333333,0.051666667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
18,0,18,0,41.8858659,,41.8321536,10,41.8858659,41.8858659,0.037563,42.891855,,43.4096689,-0.236666667,0.404166667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
19,0,19,0,43.4364825,,43.4129432,5,43.4364825,43.4364825,0.016229,44.4418758,,44.6604629,-0.395,0.391666667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
20,0,20,0,44.7235096,,44.6656812,10,44.7235096,44.7235096,0.0439755,45.7252733,,45.7428161,-0.149166667,0.33,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
21,0,21,0,45.7692371,,45.7456811,5,45.7692371,45.7692371,0.0161013,46.7752746,,46.9102549,-0.1975,0.151666667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
22,0,22,0,46.9453344,,46.9139304,5,46.9453344,46.9453344,0.0227032,47.9585682,,48.3268275,0.355,0.43,1,0,0,,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
23,0,23,0,48.3860042,,48.3315154,10,48.3860042,48.3860042,0.0384661,49.3918536,,49.859928,-0.2125,0.003333333,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
24,0,24,0,49.9202511,,49.8630153,10,49.9202511,49.9202511,0.0359281,50.9351674,,51.8545071,-0.449166667,0.44,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
25,0,25,0,51.9203168,,51.8577574,10,51.9203168,51.9203168,0.0314527,52.9402105,,54.3438326,0.434166667,-0.073333333,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
26,0,26,0,54.3713498,,54.3468703,5,54.3713498,54.3713498,0.016357,55.3753537,,55.811255,-0.018333333,0.244166667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
27,0,27,0,55.8675424,,55.8151803,10,55.8675424,55.8675424,0.0374493,56.8753157,,57.4429255,0.121666667,0.3825,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
28,0,28,0,57.4717055,,57.445867,5,57.4717055,57.4717055,0.0172212,58.4754003,,59.0765611,-0.029166667,0.168333333,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
29,0,29,0,59.1302806,,59.0803871,10,59.1302806,59.1302806,0.0342262,60.1420428,,60.7596942,0.165833333,-0.028333333,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
30,0,30,0,60.8168552,,60.7627345,10,60.8168552,60.8168552,0.0335015,61.8303605,,62.016433,0.166666667,-0.095,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
31,0,31,0,62.0777937,,62.0194509,10,62.0777937,62.0777937,0.0304179,63.0991172,,63.5078595,-0.196666667,-0.3125,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
32,0,32,0,63.5777176,,63.5108832,10,63.5777176,63.5777176,0.032273,64.6130925,,65.4729555,0.485833333,-0.184166667,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
33,0,33,0,65.5453248,,65.4764676,10,65.5453248,65.5453248,0.0310108,66.5823672,,68.8564067,-0.375833333,-0.1675,1,0,0,target,388275,1,2024-10-10_12h17.20.917,visual search,2024.1.5,None,2024-10-10 12h17.27.538467 +0530
