trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.03645469999173656,,0.018525399995269254,0.03645469999173656,0.5184420000005048,0.5184420000005048,0.5532314999873051,0.820021599996835,2.1562679999915417,right,10.0,1,1,1.6205083999957424,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
1,2,8.0,2.1685438999993494,,2.156366999988677,2.1685438999993494,2.670561299994006,2.670561299994006,2.670561299994006,2.9702959999995073,4.038022799999453,right,8.0,1,1,1.3539407000062056,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
2,2,6.0,4.053763699994306,,4.038173699998879,4.053763699994306,4.537398199987365,4.537398199987365,4.5536297999933595,4.837253799996688,5.669974999997066,right,6.0,1,1,1.1286837000079686,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
3,2,4.0,5.685851199988974,,5.670061099997838,5.685851199988974,6.185682799987262,6.185682799987262,6.185682799987262,6.489089399998193,7.289243499995791,left,-4.0,1,1,1.089615999997477,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
4,2,2.0,7.302632199993241,,7.289420299988706,7.302632199993241,7.803413299989188,7.803413299989188,7.803413299989188,8.103642099988065,8.905587000001105,left,-2.0,1,1,1.0931856000097468,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
5,2,1.0,8.920078700000886,,8.905714699998498,8.920078700000886,9.420154399995226,9.420154399995226,9.420154399995226,9.720449799991911,10.2558052999957,right,1.0,1,1,0.8325523999956204,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
6,2,1.0,10.269646799992188,,10.255946299992502,10.269646799992188,10.770122899994021,10.770122899994021,10.770122899994021,11.07105589999992,12.222984099993482,right,1.0,1,1,1.4371790000004694,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
7,2,1.0,12.236730999997235,,12.223145199997816,12.236730999997235,12.737542599992594,12.737542599992594,12.737542599992594,13.03742290000082,13.523670999988099,right,1.0,1,1,0.7821000999974785,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
8,1,1.0,13.536318799990113,,13.52383339998778,13.536318799990113,14.037362799994298,14.037362799994298,14.037362799994298,14.353809499996714,15.307927899993956,left,-1.0,0,0,1.2672071999986656,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
9,1,2.0,15.319731600000523,,15.308064400000148,15.319731600000523,15.821314999993774,15.821314999993774,15.821314999993774,16.120541399999638,16.472916200000327,right,2.0,1,1,0.6474629000003915,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
10,1,2.0,16.4864288999961,,16.47307269999874,16.4864288999961,16.987003099988215,16.987003099988215,16.987003099988215,17.286948399996618,18.072062999999616,left,-2.0,0,0,1.0802449000038905,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
11,1,3.0,18.106528499993146,,18.072148299994296,18.106528499993146,18.57013459999871,18.57013459999871,18.622188399996958,18.870312899991404,20.0247939999972,right,3.0,1,1,1.444928600001731,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
12,1,3.0,20.037633199986885,,20.024944199991296,20.037633199986885,20.53764239999873,20.53764239999873,20.53764239999873,20.837557399994694,21.539911499989103,left,-3.0,0,0,0.9967192000040086,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
13,1,4.0,21.555735199988703,,21.540068799993605,21.555735199988703,22.03813019998779,22.03813019998779,22.05547829999705,22.33849699998973,23.4405953999958,left,-4.0,1,1,1.3931925000069896,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
14,1,4.0,23.466994699992938,,23.440740499994718,23.466994699992938,23.954832299990812,23.954832299990812,23.971584999992047,24.27073959998961,24.672832999989623,right,4.0,1,1,0.703880000000936,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
15,1,4.0,24.68857039998693,,24.673018599991337,24.68857039998693,25.18807159998687,25.18807159998687,25.2040863000002,25.487906599999405,35.92296219999844,left,-4.0,0,0,10.731617199999164,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
16,1,5.0,35.937769199998,,35.92314169999736,35.937769199998,36.43825619999552,36.43825619999552,36.43825619999552,36.73675529999309,36.98916929999541,right,5.0,1,1,0.5437673999986146,402075,001,2024-09-11_11h12.45.781,Adaptive staircase,2024.1.5,None,2024-09-11 11h12.53.679328 +0530,
