WordItem,WordColour,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,instructions.started,text_2.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,studytrial.started,text_3.started,studytrial.stopped,blankscreen.started,text_4.started,blankscreen.stopped,wait.started,textwait.started,key_resp_3.started,wait.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,test_trials.started,text_5.started,key_resp_4.started,test_trials.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,end.started,text_6.started,text_6.stopped,end.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,0.013824400026351213,0.021525599993765354,0.021525599993765354,2.299246500013396,space,1.786759400041774,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
,,,,,,,,,,,,,,,,,,,2.2993059000000358,2.3043258000398055,2.3043258000398055,9.091539600049146,space,6.774350900086574,None,,,,,,,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
Germany,None,0,0,0,9,,,,,9.118676600046456,,,,,,,,,,,,,,,,9.106776800006628,9.118676600046456,11.107292699976824,11.107321299961768,11.12365189997945,11.607224600040354,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
Japan,Red,0,1,1,0,,,,,11.623684499994852,,,,,,,,,,,,,,,,11.607867700047791,11.623684499994852,13.592884700046852,13.592906199977733,13.609342799987644,14.0934636000311,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
India,Red,0,2,2,1,,,,,14.110951000009663,,,,,,,,,,,,,,,,14.09406160004437,14.110951000009663,16.10696200001985,16.106984599959105,16.123456500004977,16.606785899959505,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
Canada,Red,0,3,3,7,,,,,16.62334859999828,,,,,,,,,,,,,,,,16.60716490005143,16.62334859999828,18.60692409996409,18.60695249994751,18.62337839999236,19.10692609997932,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
Argentina,Red,0,4,4,5,,,,,19.12337549997028,,,,,,,,,,,,,,,,19.107440100051463,19.12337549997028,21.09263089997694,21.092668600031175,21.10960820002947,21.593019800027832,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
Africa ,Red,0,5,5,2,,,,,21.609483300009742,,,,,,,,,,,,,,,,21.59345249994658,21.609483300009742,23.592832700000145,23.592856999952346,23.609021099982783,24.1325693000108,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
France,Blue,0,6,6,3,,,,,24.174251100048423,,,,,,,,,,,,,,,,24.132949299993925,24.174251100048423,26.106569400057197,26.106588699971326,26.123121400014497,26.607389600016177,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
Egypt,Red,0,7,7,8,,,,,26.623784699942917,,,,,,,,,,,,,,,,26.608084499952383,26.623784699942917,28.607175100012682,28.607205800013617,28.623474100022577,29.107593100052327,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
Brazil,Blue,0,8,8,6,,,,,29.124912600032985,,,,,,,,,,,,,,,,29.108423399971798,29.124912600032985,31.107800300000235,31.107932799961418,31.123902900028042,31.60672549996525,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
Russia,Red,0,9,9,4,,,,,31.623473100014962,,,,,,,,,,,,,,,,31.607220600009896,31.623473100014962,33.607338699977845,33.607372600003146,33.62362099997699,34.106737600057386,,,,,,,,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.10687220003456,34.123712299973704,34.123712299973704,46.22632789995987,space,12.098752000019886,None,,,,,,,,,,,,465419,001,2024-11-23_19h07.07.170,short term memory,2024.1.5,None,2024-11-23 19h07.15.804211 +0530,
