trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,fixation.stopped,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.055327399997622706,,0.010954099998343736,5,0.055327399997622706,0.055327399997622706,0.043365100005757995,1.0686218999908306,2.6350010999885853,[-0.23],[0.21166666666666667],[1],[0],[0],[2.5904299999965588],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
1,0,1,0,2.668203299996094,,2.6396974999952363,5,2.668203299996094,2.668203299996094,0.018875800000387244,3.6858370999980252,4.6180366999906255,[0.3983333333333333],[-0.20833333333333334],[1],[0],[0],[1.9596293999929912],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
2,0,2,0,4.6754757999879075,,4.622687099996256,10,4.6754757999879075,4.6754757999879075,0.036337099998490885,5.692382900000666,6.935100299990154,[0.19833333333333333],[-0.35583333333333333],[1],[0],[0],[2.2765417000046],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
3,0,3,0,6.969058699993184,,6.938088899987633,5,6.969058699993184,6.969058699993184,0.021247299999231473,7.966986899991753,8.553273400000762,[-0.1825],[-0.17666666666666667],[1],[0],[0],[1.5940397000085795],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
4,0,4,0,8.609810299996752,,8.556844199993066,10,8.609810299996752,8.609810299996752,0.03630239999620244,9.632283099999768,10.90880949998973,[0.03166666666666667],[0.3441666666666667],[1],[0],[0],[2.3155293999880087],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
5,0,5,0,10.975275199991302,,10.913386799991713,10,10.975275199991302,10.975275199991302,0.03736039999057539,11.993660199994338,12.50426429999061,[0.2733333333333333],[0.2683333333333333],[1],[0],[0],[1.553997499999241],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
6,0,6,0,12.57606819999637,,12.50783409998985,10,12.57606819999637,12.57606819999637,0.037375100000645034,13.613681499991799,13.934879899999942,[0.11833333333333333],[0.3725],[1],[0],[0],[1.3895311000087531],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
7,0,7,0,14.004972700000508,,13.937974599990412,10,14.004972700000508,14.004972700000508,0.03422249999130145,15.087571600000956,15.568369699991308,[-0.195],[0.14083333333333334],[1],[0],[0],[1.5963011999992887],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
8,0,8,0,15.646721899989643,,15.571592499996768,10,15.646721899989643,15.646721899989643,0.0354728999955114,16.705837699992117,17.472098699989147,[0.07416666666666667],[-0.09333333333333334],[1],[0],[0],[1.8651736000028905],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
9,0,9,0,17.504319499988924,,17.475782499997877,5,17.504319499988924,17.504319499988924,0.019891699994332157,18.517411599998013,18.939355700000306,[0.1225],[-0.2791666666666667],[1],[0],[0],[1.4438852999883238],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
10,0,10,0,18.979867499991087,,18.945074799994472,5,18.979867499991087,18.979867499991087,0.019829599987133406,19.984627699988778,20.36818529998709,[0.12083333333333333],[-0.014166666666666666],[1],[0],[0],[1.4041314999922179],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
11,0,11,0,20.40090949999285,,20.372005899989745,5,20.40090949999285,20.40090949999285,0.019857899998896755,21.400753499998245,22.185976399996434,[0.03333333333333333],[-0.23083333333333333],[1],[0],[0],[1.794168599997647],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
12,0,12,0,22.265746299992315,,22.19057549998979,10,22.265746299992315,22.265746299992315,0.04873019999649841,23.275100399987423,25.905765599993174,[-0.18083333333333335],[-0.09916666666666667],[1],[0],[0],[3.666963499999838],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
13,0,13,0,25.93950069999846,,25.90908599999966,5,25.93950069999846,25.93950069999846,0.02058180001040455,26.951198999988264,28.4021778999886,[0.49333333333333335],[0.4075],[1],[0],[0],[2.4725242999993498],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
14,0,14,0,28.459898099987186,,28.407983500001137,10,28.459898099987186,28.459898099987186,0.03525010000157636,29.4710797000007,31.111488599999575,[0.024166666666666666],[-0.41083333333333333],[1],[0],[0],[2.6684133000089787],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
15,0,15,0,31.143384399998467,,31.11734159999469,5,31.143384399998467,31.143384399998467,0.01785340000060387,32.15089179998904,34.16903189998993,[-0.27416666666666667],[0.4666666666666667],[1],[0],[0],[3.0343637999903876],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
16,0,16,0,34.224311799989664,,34.17287129999022,10,34.224311799989664,34.224311799989664,0.034923700004583225,35.23967789999733,36.6512253999972,[-0.4325],[-0.4741666666666667],[1],[0],[0],[2.4437368999933824],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
17,0,17,0,36.716889899995294,,36.65448939999624,10,36.716889899995294,36.716889899995294,0.03912590000254568,37.73146179999458,38.08912989999226,[-0.2075],[-0.06833333333333333],[1],[0],[0],[1.3957026999996742],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
18,0,18,0,38.159280499996385,,38.092770599992946,10,38.159280499996385,38.159280499996385,0.03702980000525713,39.203100200000335,40.36422319999838,[-0.018333333333333333],[0.18333333333333332],[1],[0],[0],[2.2346528000052786],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
19,0,19,0,40.39581269999326,,40.36775219999254,5,40.39581269999326,40.39581269999326,0.018950600002426654,41.400706799991895,41.86983589999727,[-0.0675],[-0.10583333333333333],[1],[0],[0],[1.4833234999969136],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
20,0,20,0,41.93107459999737,,41.873605399989174,10,41.93107459999737,41.93107459999737,0.03613680000125896,42.956003699990106,43.998391199987964,[0.4083333333333333],[-0.3016666666666667],[1],[0],[0],[2.0885372000047937],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
21,0,21,0,44.02825019999,,44.0019190999883,5,44.02825019999,44.02825019999,0.01756079999904614,45.03482329999679,45.48594349999621,[-0.013333333333333334],[-0.11833333333333333],[1],[0],[0],[1.4667249000049196],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
22,0,22,0,45.519552499987185,,45.48995669999567,5,45.519552499987185,45.519552499987185,0.020163899986073375,46.534784599993145,47.15329550000024,[0.265],[-0.05333333333333334],[1],[0],[0],[1.6434623999957694],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
23,0,23,0,47.185485800000606,,47.15665999999328,5,47.185485800000606,47.185485800000606,0.019488699996145442,48.18511719998787,49.01957359998778,[0.16083333333333333],[-0.3675],[1],[0],[0],[1.8435312999936286],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
24,0,24,0,49.05514929999481,,49.023826299991924,5,49.05514929999481,49.05514929999481,0.022124800001620315,50.06795549999515,50.81932309998956,[0.27],[-0.2783333333333333],[1],[0],[0],[1.7737654000084149],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
25,0,25,0,50.8532722999953,,50.82333199999994,5,50.8532722999953,50.8532722999953,0.01994320000812877,51.86772429999837,52.76897939998889,[-0.0025],[-0.46416666666666667],[1],[0],[0],[1.926014500000747],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
26,0,26,0,52.831719599998905,,52.772955299995374,10,52.831719599998905,52.831719599998905,0.042618199993739836,53.856741099996725,54.418108499987284,[0.0425],[-0.06583333333333333],[1],[0],[0],[1.602884300009464],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
27,0,27,0,54.45125420000113,,54.42137899999216,5,54.45125420000113,54.45125420000113,0.020041399999172427,55.45224809998763,56.15281429998868,[-0.21583333333333332],[0.08166666666666667],[1],[0],[0],[1.7115753999969456],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
28,0,28,0,56.208717199988314,,56.156686999995145,10,56.208717199988314,56.208717199988314,0.03579699998954311,57.229287699999986,57.90432599998894,[0.31083333333333335],[-0.15583333333333332],[1],[0],[0],[1.7118663000001106],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
29,0,29,0,57.969331599990255,,57.911603599990485,10,57.969331599990255,57.969331599990255,0.03514589999394957,58.984874399990076,59.814583299987135,[0.25333333333333335],[0.24916666666666668],[1],[0],[0],[1.8680346000037389],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
30,0,30,0,59.88162299999385,,59.81795549999515,10,59.88162299999385,59.88162299999385,0.034708000006503426,60.91264059999958,62.25771900000109,[-0.025833333333333333],[0.025833333333333333],[1],[0],[0],[2.4052776000025915],['target'],564319,001,2024-10-10_16h19.38.940,visual search,2024.1.5,None,2024-10-10 16h20.28.384310 +0530,
