reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.23187420004978776,,0.02941740001551807,0.23187420004978776,1.006286000018008,1.006286000018008,1.2392913000076078,9.832368800009135,t,8.813044500013348,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
67,75,119,0,1,1,5,9.848198200052138,,9.835562899999786,9.848198200052138,10.83877820003545,10.83877820003545,10.855795800045598,12.225761400011834,l,1.3824930000118911,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
49,60,89,0,2,2,4,12.242515999998432,,12.227463000046555,12.242515999998432,13.238959300040733,13.238959300040733,13.255748499999754,13.890210600045975,t,0.6444414999568835,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
40,55,62,0,3,3,3,13.90590480004903,,13.891003600030672,13.90590480004903,14.905749100027606,14.905749100027606,14.905749100027606,15.294421200000215,t,0.3823102999594994,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
27,50,21,0,4,4,2,15.309363900043536,,15.29599330003839,15.309363900043536,16.305578300030902,16.305578300030902,16.322235500032548,16.60964270000113,t,0.297617900010664,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
11,30,7,0,5,5,0,16.65067810000619,,16.611773700045887,16.65067810000619,17.622213600028772,17.622213600028772,17.6555838000495,17.890975500049535,l,0.2580599999637343,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
15,35,13,0,6,6,1,17.909515200008173,,17.892422000004444,17.909515200008173,18.905646800005343,18.905646800005343,18.92225890001282,19.573305700032506,l,0.6512644999893382,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
27,50,21,1,0,7,2,19.588600000017323,,19.57402749999892,19.588600000017323,20.58852560003288,20.58852560003288,20.58852560003288,20.79050190001726,t,0.19009899999946356,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
40,55,62,1,1,8,3,20.805649600049946,,20.791369100043084,20.805649600049946,21.80540520005161,21.80540520005161,21.80540520005161,22.124026200035587,l,0.3144946999964304,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
49,60,89,1,2,9,4,22.13871680002194,,22.12506970000686,22.13871680002194,23.138631200010423,23.138631200010423,23.138631200010423,23.640408400038723,t,0.4861635000561364,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
78,80,162,1,3,10,6,23.655506700044498,,23.642352499999106,23.655506700044498,24.655426800018176,24.655426800018176,24.655426800018176,24.927260900032707,l,0.2674739999929443,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
67,75,119,1,4,11,5,24.938570700003766,,24.92850430001272,24.938570700003766,25.938945800007787,25.938945800007787,25.938945800007787,26.426317600009497,t,0.4734642000403255,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
11,30,7,1,5,12,0,26.445214400009718,,26.427890100050718,26.445214400009718,27.438566200027708,27.438566200027708,27.455474800022785,27.77676010003779,l,0.33413909998489544,None,634119,001,2024-11-15_16h09.24.331,delayed discounting,2024.1.5,None,2024-11-15 16h09.39.280853 +0530,
