study_words,test,refernce,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
mouse,,,,0,0,0,8,,,,,0.0506002,,0.0119406,0.0506002,0.0506002,2.733143,1.023333333,2.6967336,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
Laptop,,,,0,1,1,5,,,,,2.7574388,,2.7336502,2.7574388,2.7574388,3.7351536,1.023333333,0.9750027,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
cushion,,,,0,2,2,1,,,,,3.7562793,,3.7355747,3.7562793,3.7562793,4.5504024,1.023333333,0.7907256,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
marble,,,,0,3,3,3,,,,,4.5709511,,4.5507361,4.5709511,4.5709511,5.3513961,1.023333333,0.7747915,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
board,,,,0,4,4,4,,,,,5.3723147,,5.3517683,5.3723147,5.3723147,6.0334128,1.023333333,0.6588813,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
Chart,,,,0,5,5,6,,,,,6.0532257,,6.0337952,6.0532257,6.0532257,6.667131,1.023333333,0.6099107,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
phone,,,,0,6,6,2,,,,,6.685758,,6.6674595,6.685758,6.685758,7.2010353,1.023333333,0.5110437,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
Pastry,,,,0,7,7,9,,,,,7.2228816,,7.2013919,7.2228816,7.2228816,7.8500697,1.023333333,0.6246918,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
T-shirt,,,,0,8,8,7,,,,,7.8726958,,7.8503785,7.8726958,7.8726958,8.4675383,1.023333333,0.5898599,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
book,,,,0,9,9,0,,,,,8.4878565,,8.4678991,8.4878565,8.4878565,9.484594,1.023333333,0.9925406,,,,,,,,,,,,,,,689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,c_a_t,Chart,old,,,,,0,0,0,6,9.5079768,,,,,,,,9.4924593,9.5079768,9.5079768,9.5079768,0.0131233,19.0650363,chart,"[-0.49416666666666664, -0.49416666666666664, -0.49416666666666664, -0.045]","[-0.2975, -0.2975, -0.2975, -0.2941666666666667]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0.45002359990030527, 3.5160908000543714, 5.265759699977934, 9.566211600089446]",['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,_ar__e,marble,old,,,,,0,1,1,3,19.0814053,,,,,,,,19.0667735,19.0814053,19.0814053,19.0814053,0.0040223,27.5165758,marble,[-0.045],[-0.2941666666666667],[1],[0],[0],[8.444815300172195],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,_as_r_,Pastry,old,,,,,0,2,2,9,27.5335236,,,,,,,,27.5178627,27.5335236,27.5335236,27.5335236,0.0048522,37.5309707,,[],[],[],[],[],[],[],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,c_sh_o_,cushion,old,,,,,0,3,3,1,37.5473342,,,,,,,,37.5318991,37.5473342,37.5473342,37.5473342,0.018814,47.5315857,cushio,[],[],[],[],[],[],[],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,m_u_e,mouse,old,,,,,0,4,4,8,47.5502849,,,,,,,,47.5328901,47.5502849,47.5502849,47.5502849,0.0204267,50.5505345,mouse,[-0.045],[-0.2941666666666667],[1],[0],[0],[3.0112060999963433],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,p_on_,phone,old,,,,,0,5,5,2,50.5704814,,,,,,,,50.551955,50.5704814,50.5704814,50.5704814,0.0052564,54.5171327,phone,[-0.045],[-0.2941666666666667],[1],[0],[0],[3.9582229000516236],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,_o_ic_,Police,new,,,,,0,6,6,12,54.5374059,,,,,,,,54.5189159,54.5374059,54.5374059,54.5374059,0.0047846,59.7845078,police,[-0.045],[-0.2941666666666667],[1],[0],[0],[5.259877400007099],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,c_s_,Case,new,,,,,0,7,7,10,59.8007786,,,,,,,,59.7856589,59.8007786,59.8007786,59.8007786,0.0045338,65.8340012,case,[-0.045],[-0.2941666666666667],[1],[0],[0],[6.0430918000638485],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,_a_t_p,Laptop,old,,,,,0,8,8,5,65.8531061,,,,,,,,65.8351017,65.8531061,65.8531061,65.8531061,0.004947,70.3356638,laptop,[-0.045],[-0.2941666666666667],[1],[0],[0],[4.494616199983284],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,_oo_,book,old,,,,,0,9,9,0,70.3554236,,,,,,,,70.337108,70.3554236,70.3554236,70.3554236,0.0052397,72.9839216,book,[-0.045],[-0.2941666666666667],[1],[0],[0],[2.6404364998452365],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,k_ys,Keys,new,,,,,0,10,10,13,73.0023202,,,,,,,,72.9849824,73.0023202,73.0023202,73.0023202,0.0058275,75.7514474,keys,[-0.045],[-0.2941666666666667],[1],[0],[0],[2.759976499946788],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,cr_i_e,Cruise,new,,,,,0,11,11,11,75.7706944,,,,,,,,75.7527541,75.7706944,75.7706944,75.7706944,0.0055329,81.9342599,cruise,[-0.045],[-0.2941666666666667],[1],[0],[0],[6.175111799966544],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,po_s_r,Poster,new,,,,,0,12,12,14,81.9512653,,,,,,,,81.9354854,81.9512653,81.9512653,81.9512653,0.0047644,85.5850593,poster,[-0.045],[-0.2941666666666667],[1],[0],[0],[3.643916300032288],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,t-_hir_,T-shirt,old,,,,,0,13,13,7,85.6020972,,,,,,,,85.5859437,85.6020972,85.6020972,85.6020972,0.0043592,89.2841829,t shirt,[-0.045],[-0.2941666666666667],[1],[0],[0],[3.692819699877873],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,b_ar_,board,old,,,,,0,14,14,4,89.301479,,,,,,,,89.2853347,89.301479,89.301479,89.301479,0.0049031,95.3508723,board,[-0.045],[-0.2941666666666667],[1],[0],[0],[6.059672700008377],['text_3'],689046,1,2024-10-25_17h53.10.672,word primming,2024.1.5,None,2024-10-25 17h53.18.369037 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,old,0.533333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,new,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-0.466666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
